ln (rainfall),Hatching,Fledging,Species,Year,ln (rainfall),Hatching,Fledging,Species,Year
3.2,0,0,fortis,Non Nino,3.2,0.9,0.5,scandens,Non Nino
3.8,0.24,0.6,fortis,Non Nino,3.8,0.39,0.23,scandens,Non Nino
3.9,0.22,0.38,fortis,Non Nino,3.9,0.41,0.26,scandens,Non Nino
3.9,0.77,0.95,fortis,Non Nino,3.9,0.65,0.83,scandens,Non Nino
4,0.21,0.72,fortis,Non Nino,4,0.65,0.83,scandens,Non Nino
4.1,0.39,0.17,fortis,Non Nino,4.1,0.7,0.4,scandens,Non Nino
4.4,0.42,0.78,fortis,Non Nino,4.4,0.8,0.6,scandens,Non Nino
4.5,0.81,0.84,fortis,Non Nino,4.5,0.83,0.9,scandens,Non Nino
5,0.62,0.88,fortis,Non Nino,5,0.73,0.9,scandens,Non Nino
5,0.72,0.96,fortis,Non Nino,5,0.73,0.93,scandens,Non Nino
5.4,0.68,0.9,fortis,El Nino,5.4,0.77,0.81,scandens,El Nino
6.6,0.61,0.84,fortis,El Nino,6.6,0.46,0.83,scandens,El Nino
6.9,0.6,0.74,fortis,El Nino,6.9,0.62,0.8,scandens,El Nino
7.3,0.4,0.85,fortis,El Nino,7.3,0.58,0.81,scandens,El Nino
