GCM Projected Precipitation,(mm/year)),ln(mm/yr),GCM-rainfall for Daphne
2015,668.1445503,6.504504543,3.536929526
2016,735.3655159,6.600367676,3.945591863
2017,1022.914828,6.930411505,5.352561128
2018,769.3094471,6.64549329,4.13796132
2019,700.1748336,6.551330066,3.736545657
2020,993.8372522,6.901573463,5.229625216
2021,881.5412744,6.781671824,4.71848728
2022,581.1059906,6.364933168,2.941939961
2023,1095.947479,6.999374546,5.646548987
2024,1290.322998,7.162647852,6.342579344
2025,797.5615065,6.681558956,4.291708424
2026,672.9569452,6.511681353,3.567524104
2027,702.0145737,6.553954164,3.747732126
2028,896.4783009,6.798474089,4.79011495
2029,951.6354233,6.858182003,5.044648417
2030,931.3590629,6.836644877,4.952836146
2031,486.0911362,6.186396129,2.180840664
2032,575.6436154,6.355488746,2.901678605
2033,772.4676745,6.649590163,4.155426192
2034,551.5522496,6.312736575,2.719427083
2035,487.4819068,6.189253176,2.193020186
2036,879.0870316,6.778883905,4.706602447
2037,875.6350365,6.774949379,4.689829654
2038,809.937561,6.696957159,4.357350612
2039,1062.30382,6.968195244,5.51363234
2040,1254.108857,7.134180525,6.221223782
2041,713.2346533,6.569810473,3.815327208
2042,796.6547814,6.680421437,4.286859209
2043,737.6555457,6.603476975,3.958846734
2044,401.9079921,5.996223187,1.370137777
2045,730.570939,6.593826337,3.917706282
2046,975.4646766,6.882913949,5.150080136
2047,1653.21683,7.410478263,7.399074694
2048,1081.430006,6.986039524,5.589702093
2049,770.7043302,6.647304811,4.145683792
2050,756.336712,6.628486663,4.065462459
2051,593.187953,6.385511302,3.029664071
2052,846.8474993,6.74152063,4.547323666
2053,777.8821983,6.656575097,4.185202806
2054,833.0640217,6.725110496,4.47736764
2055,762.6788748,6.636837071,4.101060055
2056,879.528363,6.779385813,4.708742068
2057,942.4334573,6.848465315,5.003226399
2058,1246.260967,7.127903121,6.194463352
2059,905.6535528,6.808656841,4.833523789
2060,991.5543564,6.899273769,5.219821673
2061,929.2375639,6.834364426,4.943114635
2062,916.2376887,6.820275817,4.883055216
2063,674.7148841,6.514290208,3.578645591
2064,1032.796914,6.940025851,5.393546865
2065,959.6165277,6.866533754,5.080251743
2066,890.1931259,6.791438435,4.760122119
2067,690.9994832,6.538139076,3.680312768
2068,1150.698975,7.048124841,5.854370375
2069,2195.433543,7.69413482,8.608296082
2070,1215.269481,7.102721126,6.087113084
2071,854.3094699,6.750293505,4.584722229
2072,950.2442365,6.856719043,5.038411852
2073,839.1901249,6.73243729,4.508601593
2074,814.7159464,6.70283952,4.382426982
2075,1475.060988,7.296454616,6.912994503
2076,879.7269171,6.779611538,4.709704329
2077,899.6040934,6.80195477,4.804953017
2078,1112.69337,7.014538815,5.711193916
2079,1519.297134,7.326003095,7.038958993
2080,783.4014897,6.663645323,4.215343017
2081,750.4519544,6.620675631,4.032164208
2082,836.3366933,6.729031275,4.494081831
2083,939.7610594,6.845625651,4.991120977
2084,596.3241493,6.390784394,3.052143142
2085,757.2859675,6.629740946,4.070809439
2086,913.7903367,6.817601154,4.871653192
2087,1012.434576,6.920113181,5.308659607
2088,1859.529612,7.528078838,7.900403244
2089,944.5436849,6.850701938,5.012761072
2090,920.089653,6.824471114,4.900939674
2091,1074.885908,6.979969803,5.563827015
2092,913.6191301,6.817413778,4.870854411
2093,959.35495,6.866261132,5.079089558
2094,1087.516566,6.991651996,5.613627932
2095,833.6771208,6.725846182,4.480503853
2096,1019.632516,6.927197562,5.338860164
2097,803.7819322,6.689328004,4.324827697
2098,811.2894352,6.698624877,4.364460055
2099,746.7434524,6.615721689,4.011045667
2100,691.2980992,6.538571133,3.68215462
