Month,Year,mm/month
Jan,1981,2.410307
Feb,1981,21.24769
Mar,1981,58.84377
Apr,1981,6.269734
May,1981,3.096441
Jun,1981,1.026674
Jul,1981,1.201993
Aug,1981,0.9352317
Sep,1981,1.40122
Oct,1981,1.000877
Nov,1981,0.2952192
Dec,1981,1.024678
Jan,1982,2.410307
Feb,1982,20.93551
Mar,1982,9.339579
Apr,1982,6.270933
May,1982,2.887692
Jun,1982,1.031741
Jul,1982,1.678529
Aug,1982,0.9529308
Sep,1982,1.404429
Oct,1982,1.00935
Nov,1982,0.2952446
Dec,1982,2.481673
Jan,1983,5.176245
Feb,1983,59.33555
Mar,1983,80.36727
Apr,1983,44.64716
May,1983,10.01493
Jun,1983,5.956467
Jul,1983,3.447398
Aug,1983,1.041234
Sep,1983,1.402683
Oct,1983,1.000285
Nov,1983,0.2951192
Dec,1983,1.022204
Jan,1984,2.410283
Feb,1984,23.66249
Mar,1984,35.67744
Apr,1984,14.09139
May,1984,2.887692
Jun,1984,1.088596
Jul,1984,1.199664
Aug,1984,1.009287
Sep,1984,1.404429
Oct,1984,1.016552
Nov,1984,0.2943344
Dec,1984,1.023877
Jan,1985,2.766265
Feb,1985,21.22454
Mar,1985,9.318016
Apr,1985,6.26857
May,1985,3.154621
Jun,1985,1.088596
Jul,1985,1.4711
Aug,1985,0.9564404
Sep,1985,1.404429
Oct,1985,0.99988
Nov,1985,0.2949207
Dec,1985,1.024678
Jan,1986,2.497632
Feb,1986,26.23977
Mar,1986,17.99244
Apr,1986,9.956473
May,1986,2.952763
Jun,1986,0.9935322
Jul,1986,1.130652
Aug,1986,0.9564404
Sep,1986,1.488992
Oct,1986,1.001579
Nov,1986,0.2954838
Dec,1986,1.024678
Jan,1987,2.44524
Feb,1987,57.21791
Mar,1987,74.05817
Apr,1987,26.27481
May,1987,4.610336
Jun,1987,1.031741
Jul,1987,1.200543
Aug,1987,0.9564404
Sep,1987,1.401471
Oct,1987,1.016552
Nov,1987,0.2952446
Dec,1987,1.022832
Jan,1988,2.402184
Feb,1988,23.36697
Mar,1988,7.866333
Apr,1988,6.270933
May,1988,2.887692
Jun,1988,1.031741
Jul,1988,1.203665
Aug,1988,0.9564404
Sep,1988,1.491285
Oct,1988,0.9994105
Nov,1988,0.2949036
Dec,1988,1.105547
Jan,1989,2.400977
Feb,1989,23.82988
Mar,1989,6.725067
Apr,1989,5.330969
May,1989,1.836937
Jun,1989,0.9589132
Jul,1989,1.197213
Aug,1989,0.9946805
Sep,1989,1.490136
Oct,1989,0.8932579
Nov,1989,0.2559956
Dec,1989,0.6144263
Jan,1990,3.629024
Feb,1990,34.17802
Mar,1990,13.40906
Apr,1990,4.321161
May,1990,2.143015
Jun,1990,0.9454652
Jul,1990,1.161577
Aug,1990,0.9564404
Sep,1990,1.443031
Oct,1990,0.9416984
Nov,1990,0.2949102
Dec,1990,1.050751
Jan,1991,2.784579
Feb,1991,25.64985
Mar,1991,43.09463
Apr,1991,5.566058
May,1991,2.923971
Jun,1991,1.095411
Jul,1991,1.116412
Aug,1991,1.03265
Sep,1991,1.404429
Oct,1991,1.09689
Nov,1991,0.2854835
Dec,1991,1.05375
Jan,1992,6.123391
Feb,1992,31.2704
Mar,1992,25.52624
Apr,1992,37.63515
May,1992,4.878136
Jun,1992,1.101048
Jul,1992,1.604229
Aug,1992,1.041234
Sep,1992,1.489733
Oct,1992,1.015236
Nov,1992,0.2942935
Dec,1992,1.044198
Jan,1993,2.410252
Feb,1993,22.50483
Mar,1993,30.54684
Apr,1993,14.52399
May,1993,3.101535
Jun,1993,1.24031
Jul,1993,1.238881
Aug,1993,0.8839984
Sep,1993,1.465247
Oct,1993,0.9253308
Nov,1993,0.2946701
Dec,1993,1.023492
Jan,1994,2.410274
Feb,1994,21.16712
Mar,1994,9.324189
Apr,1994,6.297524
May,1994,2.97877
Jun,1994,1.028967
Jul,1994,1.268822
Aug,1994,0.9564404
Sep,1994,1.402263
Oct,1994,1.014952
Nov,1994,0.294644
Dec,1994,1.024678
Jan,1995,3.959766
Feb,1995,22.53635
Mar,1995,19.37188
Apr,1995,4.81532
May,1995,2.592254
Jun,1995,1.085668
Jul,1995,1.203665
Aug,1995,1.014166
Sep,1995,1.404429
Oct,1995,1.001579
