Year,Temp
1950,9.56720163
1951,9.621602742
1952,7.056806204
1953,9.727994465
1954,8.003904607
1955,4.362041605
1956,7.934333449
1957,9.357639985
1958,10.52050484
1959,9.930826178
1960,10.10334555
1961,7.358351602
1962,9.295555758
1963,10.19799495
1964,9.093008153
1965,11.92541105
1966,10.62395829
1967,9.433409178
1968,7.925125386
1969,8.907344763
1970,8.953777597
1971,8.601204902
1972,8.01699586
1973,9.713215473
1974,10.81567971
1975,9.590339538
1976,8.209789365
1977,10.82703688
1978,12.86852725
1979,6.518055546
1980,7.485473566
1981,11.35833614
1982,18.3942725
1983,4.919913181
1984,8.514393278
1985,7.418396795
1986,6.733981825
1987,10.65171435
1988,8.91338542
1989,8.535629778
1990,10.0964588
1991,9.342531425
1992,7.317381652
1993,8.780229188
1994,8.538032917
1995,19.69578439
1996,5.214128265
1997,10.1597038
1998,11.30801413
1999,16.23917773
2000,4.432084938
2001,7.453807526
2002,11.0078734
2003,20.72839689
2004,6.166538607
2005,9.507669133
2006,10.93693781
2007,9.378844558
2008,13.5086981
2009,9.012292005
2010,8.380920004
2011,12.87398642
2012,16.73499055
2013,9.792812033
2014,8.789475111
