Year,"Rain, mm",ln(rainfall)
1988,1,0
1996,2,0.693147181
1985,4,1.386294361
1989,4,1.386294361
2003,16,2.772588722
1977,24,3.17805383
2004,25,3.218875825
2006,27,3.295836866
1999,30,3.401197382
1974,35,3.555348061
1990,48,3.871201011
1986,49,3.891820298
2000,50,3.912023005
1982,51,3.931825633
1994,51,3.931825633
1980,53,3.970291914
1984,53,3.970291914
1995,66,4.189654742
1979,69,4.234106505
1981,73,4.290459441
2009,85,4.442651256
2001,96,4.564348191
2005,121,4.795790546
2007,133,4.890349128
1976,135,4.905274778
1978,137,4.919980926
1973,150,5.010635294
2010,172,5.147494477
2002,185,5.220355825
1991,195,5.272999559
2008,205,5.323009979
1992,209,5.342334252
1993,234,5.455321115
2012,316,5.755742214
1975,320,5.768320996
1997,368,5.908082938
2011,381,5.942799375
1987,622,6.432940093
1998,922,6.826545224
1983,1359,7.214504414
